Аварийность,Адрес,Безопасность,Газоснабжение,Год постройки,Жилая,Инфраструктура,Кухня,Лифты,Метро 0,Метро 1,Метро 2,Мусоропровод,Название,Общая,Отопление,Отрицательное соседство,Парковка,Подъезды,Положительное соседство,Построен,Срок сдачи,Строительная серия,Тип дома,Тип перекрытий,Транспорт,Цена,Цена за квадрат,Экология,Этаж
,"Московская область, Ивантеевка, Хлебозаводская ул., 2к2",,,,33 м²,,"13,1 м²",Нет, ⋅  36 мин. на транспорте,,,,"2-комн. квартира, 67,7 м²","67,7 м²",,,Наземная,,,,,,,,,4644220,68 600,,11 из 17
,"Москва, ЮВАО, р-н Рязанский, ул. Федора Полетаева, 15А",,,,"29,7 м²",,"10,9 м²","1 пассажирский, 1 грузовой", ⋅  12 мин. пешком, откроется в 2019, ⋅  2 мин. на транспорте,,"2-комн. квартира, 58,4 м²","58,4 м²",,,Подземная,,,,4 кв. 2019,,,,,11666458,199 768,,2 из 16
,"Москва, ЮВАО, р-н Рязанский, ул. Федора Полетаева, 15А",,,,"28,5 м²",,"9,8 м²","1 пассажирский, 1 грузовой", ⋅  12 мин. пешком, откроется в 2019, ⋅  2 мин. на транспорте,,"2-комн. квартира, 57,1 м²","57,1 м²",,,Подземная,,,,4 кв. 2019,,,,,11580635,202 813,,11 из 16
,"Москва, ЮВАО, р-н Рязанский, ул. Федора Полетаева, 15А",,,,"28,5 м²",,"9,8 м²","1 пассажирский, 1 грузовой", ⋅  12 мин. пешком, откроется в 2019, ⋅  2 мин. на транспорте,,"2-комн. квартира, 57,1 м²","57,1 м²",,,Подземная,,,,4 кв. 2019,,,,,11641266,203 875,,13 из 16
,"Москва, ЮВАО, р-н Рязанский, ул. Федора Полетаева, 15А",,,,"28,5 м²",,"9,8 м²","1 пассажирский, 1 грузовой", ⋅  12 мин. пешком, откроется в 2019, ⋅  2 мин. на транспорте,,"2-комн. квартира, 57,1 м²","57,1 м²",,,Подземная,,,,4 кв. 2019,,,,,11701897,204 937,,14 из 16
,"Москва, ВАО, р-н Вешняки, Вешняковская ул., 18ГС1",,,,"34,5 м²",,"11,4 м²","1 пассажирский, 1 грузовой", ⋅  14 мин. пешком,,,,"2-комн. квартира, 62,1 м²","62,1 м²",,,Подземная,,,,1 кв. 2019,,,,,12656300,203 805,,3 из 13
,"Москва, ВАО, р-н Вешняки, Вешняковская ул., 18ГС1",,,,"34,5 м²",,"11,4 м²","1 пассажирский, 1 грузовой", ⋅  14 мин. пешком,,,,"2-комн. квартира, 62,7 м²","62,7 м²",,,Подземная,,,,1 кв. 2019,,,,,13217000,210 797,,4 из 13
,"Москва, ВАО, р-н Вешняки, Вешняковская ул., 18ГС1",,,,"37,3 м²",,"11,9 м²","1 пассажирский, 1 грузовой", ⋅  14 мин. пешком,,,,"2-комн. квартира, 67,3 м²","67,3 м²",,,Подземная,,,,1 кв. 2019,,,,,13765740,204 543,,6 из 13
,"Москва, ВАО, р-н Вешняки, Вешняковская ул., 18ГС1",,,,"34,5 м²",,"11,5 м²","1 пассажирский, 1 грузовой", ⋅  14 мин. пешком,,,,"2-комн. квартира, 62,6 м²","62,6 м²",,,Подземная,,,,1 кв. 2019,,,,,12782840,204 199,,7 из 13
,"Москва, ВАО, р-н Вешняки, Вешняковская ул., 18ГС1",,,,"34,5 м²",,"11,6 м²","1 пассажирский, 1 грузовой", ⋅  14 мин. пешком,,,,"2-комн. квартира, 62,2 м²","62,2 м²",,,Подземная,,,,1 кв. 2019,,,,,12713920,204 404,,9 из 13
,"Москва, ВАО, р-н Вешняки, Вешняковская ул., 18ГС1",,,,"16,6 м²",,"11,6 м²","1 пассажирский, 1 грузовой", ⋅  14 мин. пешком,,,,"1-комн. квартира, 40 м²",40 м²,,,Подземная,,,,1 кв. 2019,,,,,8400000,210 000,,11 из 13
,"Москва, ВАО, р-н Вешняки, Вешняковская ул., 10",,,,"19,6 м²",,"12,6 м²","1 пассажирский, 1 грузовой", ⋅  3 мин. на транспорте, ⋅  4 мин. на транспорте, ⋅  6 мин. на транспорте,,"1-комн. квартира, 47,8 м²","47,8 м²",,,Подземная,,,,1 кв. 2020,,,,,9619062,201 236,,3 из 11
,"Москва, ВАО, р-н Вешняки, Вешняковская ул., 10",,,,"17,6 м²",,"9,2 м²","1 пассажирский, 1 грузовой", ⋅  3 мин. на транспорте, ⋅  4 мин. на транспорте, ⋅  6 мин. на транспорте,,"1-комн. квартира, 38,6 м²","38,6 м²",,,Подземная,,,,1 кв. 2020,,,,,8268836,214 219,,11 из 11
,"Москва, ВАО, р-н Вешняки, Вешняковская ул., 10",,,,"17,9 м²",,"12,5 м²","1 пассажирский, 1 грузовой", ⋅  3 мин. на транспорте, ⋅  4 мин. на транспорте, ⋅  6 мин. на транспорте,,"1-комн. квартира, 40,6 м²","40,6 м²",,,Подземная,,,,1 кв. 2020,,,,,8301943,204 481,,4 из 11
,"Москва, ВАО, р-н Вешняки, Вешняковская ул., 10",,,,"17,9 м²",,"12,5 м²","1 пассажирский, 1 грузовой", ⋅  3 мин. на транспорте, ⋅  4 мин. на транспорте, ⋅  6 мин. на транспорте,,"1-комн. квартира, 42,1 м²","42,1 м²",,,Подземная,,,,1 кв. 2020,,,,,8585891,203 940,,6 из 11
,"Москва, ВАО, р-н Вешняки, Вешняковская ул., 10",,,,"28,9 м²",,9 м²,"1 пассажирский, 1 грузовой", ⋅  3 мин. на транспорте, ⋅  4 мин. на транспорте, ⋅  6 мин. на транспорте,,"2-комн. квартира, 53,5 м²","53,5 м²",,,Подземная,,,,1 кв. 2020,,,,,10741606,200 778,,6 из 11
,"Москва, ВАО, р-н Вешняки, Вешняковская ул., 10",,,,"32,9 м²",,"10,1 м²","1 пассажирский, 1 грузовой", ⋅  3 мин. на транспорте, ⋅  4 мин. на транспорте, ⋅  6 мин. на транспорте,,"2-комн. квартира, 62,5 м²","62,5 м²",,,Подземная,,,,1 кв. 2020,,,,,12649532,202 393,,7 из 11
,"Москва, ВАО, р-н Вешняки, Вешняковская ул., 10",,,,"34,1 м²",,"10,4 м²","1 пассажирский, 1 грузовой", ⋅  3 мин. на транспорте, ⋅  4 мин. на транспорте, ⋅  6 мин. на транспорте,,"2-комн. квартира, 61,5 м²","61,5 м²",,,Подземная,,,,1 кв. 2020,,,,,12447140,202 393,,8 из 11
,"Москва, ВАО, р-н Вешняки, Вешняковская ул., 10",,,,"17,9 м²",,"9,4 м²","1 пассажирский, 1 грузовой", ⋅  3 мин. на транспорте, ⋅  4 мин. на транспорте, ⋅  6 мин. на транспорте,,"1-комн. квартира, 38,5 м²","38,5 м²",,,Подземная,,,,1 кв. 2020,,,,,8122454,210 973,,8 из 11
,"Москва, САО, р-н Головинский, Ленинградское ш., 58С24",,,,"12,7 м²",,"12,9 м²","2 пассажирских, 1 грузовой", ⋅  9 мин. пешком,,,,"1-комн. квартира, 34,6 м²","34,6 м²",,,Подземная,,,,1 кв. 2021,,,,,8390000,242 486,,18 из 29
Нет,"Москва, СЗАО, р-н Хорошево-Мневники, просп. Маршала Жукова, 59",,,2005,36 м²,,17 м²,Нет, ⋅  45 мин. пешком,,,Нет,"2-комн. квартира, 67 м²",67 м²,,,,18,,2005,,,,,,20500000,305 970,,3 из 20
,"Московская область, Домодедово, Город Счастья жилой комплекс, к3В",,,,"30,4 м²",,"9,6 м²",, ⋅  30 мин. на транспорте,,,,"2-комн. квартира, 55 м²",55 м²,,,,,,,1 кв. 2020,,,,,3600000,65 455,,12 из 17
,"Москва, ЦАО, р-н Пресненский, наб. Пресненская, 8с1",,,,,,,, ⋅  3 мин. пешком, ⋅  4 мин. пешком, ⋅  5 мин. пешком,,"2-комн. апартаменты, 110 м²",110 м²,,,,,,,,,,,,93236160,847 601,,67 из 74
Нет,"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 8",,,2011,55 м²,,25 м²,Нет, ⋅  25 мин. пешком, ⋅  20 мин. пешком, ⋅  20 мин. пешком,,"2-комн. квартира, 98 м²",98 м²,Центральное,,,5,,,,,Монолитный,Железобетонные,,66229823,675 815,,46 из 50
,"Москва, ВАО, р-н Сокольники, ул. Гастелло, 41",,,,,,,, ⋅  7 мин. пешком, ⋅  11 мин. пешком,,,"2-комн. квартира, 66 м²",66 м²,,,,,,1957,,,,,,14800000,224 242,,8 из 11
Нет,"Москва, НАО (Новомосковский), Коммунарка поселок, 20А",,Центральное,2012,42 м²,,15 м²,"1 пассажирский, 1 грузовой", ⋅  15 мин. на транспорте, ⋅  19 мин. пешком, ⋅  22 мин. пешком,Есть,"2-комн. квартира, 80 м²",80 м²,Автономная котельная,,,6,,2012,,,,Железобетонные,,9600000,120 000,,1 из 17
,"Москва, ЦАО, р-н Пресненский, Ходынская ул., 2",,,,,,,, ⋅  11 мин. пешком, ⋅  19 мин. пешком, ⋅  21 мин. пешком,,"2-комн. квартира, 69 м²",69 м²,,,,,,,4 кв. 2018,,,,,25500000,369 565,,44 из 44
,"Москва, ЦАО, р-н Пресненский, Ходынская ул., 2",,,,,,,, ⋅  11 мин. пешком, ⋅  19 мин. пешком, ⋅  21 мин. пешком,,"1-комн. квартира, 69 м²",69 м²,,,,,,,4 кв. 2018,,,,,25500000,369 565,,44 из 44
,"Москва, ЦАО, р-н Хамовники, ул. Усачева, 11",,,,,,,Нет, ⋅  10 мин. пешком, ⋅  7 мин. пешком, ⋅  11 мин. пешком,,"Многокомнатная квартира, 330 м²",330 м²,,,Подземная,,,,,,,,,240000000,727 273,,5 из 11
,"Москва, СВАО, р-н Алексеевский, Новоалексеевская ул., 16",,,,15 м²,,"12,4 м²","1 пассажирский, 1 грузовой", ⋅  8 мин. пешком, ⋅  2 мин. на транспорте, ⋅  3 мин. на транспорте,,"1-комн. апартаменты, 38,67 м²","38,67 м²",,,,,,,4 кв. 2021,,,,,8250000,213 344,,4 из 20
Нет,"Москва, ЮАО, р-н Донской, Большая Тульская ул., 56",,,2005,,,,"1 пассажирский, 1 грузовой", ⋅  8 мин. пешком, ⋅  23 мин. пешком, ⋅  22 мин. пешком,Есть,"2-комн. квартира, 54 м²",54 м²,Центральное,,Наземная,2,,2005,,П-3М,Панельный,Железобетонные,,12500000,231 481,,12 из 17
,"Москва, ЦАО, р-н Пресненский, наб. Пресненская, 12",,,,,,,6 грузовых, ⋅  3 мин. пешком, ⋅  5 мин. пешком,,Есть,"1-комн. апартаменты, 54,1 м²","54,1 м²",,,Многоуровневая,,,2011,,,,,,33542000,620 000,,78 из 95
,"Москва, ВАО, р-н Вешняки, ул. Старый Гай, 1К1",,,,"19,1 м²",,7 м²,, ⋅  20 мин. пешком, ⋅  25 мин. пешком,,,"1-комн. квартира, 33 м²",33 м²,,,,,,1971,,,,,,5800000,175 758,,2 из 9
Нет,"Москва, ЗАО, р-н Раменки, Минская ул., 1А",,,1997,60 м²,,13 м²,1 грузовой,,,,Есть,"2-комн. квартира, 76 м²",76 м²,Центральное,,Подземная,11,,,,,Монолитный,Железобетонные,,29000000,381 579,,7 из 12
Нет,"Москва, ВАО, р-н Измайлово, 3-я Парковая ул., 39К1",,Центральное,1958,"31,1 м²",,"8,5 м²",Нет, ⋅  15 мин. пешком, ⋅  16 мин. пешком, ⋅  23 мин. пешком,,"2-комн. квартира, 54,4 м²","54,4 м²",Центральное,,,4,,,,,Блочный,Железобетонные,,10400000,191 176,,5 из 5
Нет,"Москва, ЮВАО, р-н Рязанский, Саратовская ул., 22",,,2007,"18,1 м²",,"9,9 м²","2 пассажирских, 1 грузовой", ⋅  12 мин. пешком, ⋅  15 мин. пешком,,Есть,"1-комн. квартира, 41,7 м²","41,7 м²",Центральное,,,9,,,,П-3М,Панельный,Железобетонные,,7950000,190 647,,2 из 23
Нет,"Москва, ЦАО, р-н Пресненский, Мантулинская ул., 9к1",,,,"19,3 м²",,"26,8 м²",Нет, ⋅  12 мин. пешком, ⋅  15 мин. пешком, ⋅  15 мин. пешком,,"2-комн. квартира, 61 м²",61 м²,,,Многоуровневая,,,,,,,,,29950000,490 984,,6 из 12
Нет,"Москва, САО, р-н Дмитровский, Карельский бул., 5",,Центральное,1987,30 м²,,8 м²,Нет, ⋅  41 мин. пешком, ⋅  51 мин. пешком, ⋅  54 мин. пешком,,"2-комн. квартира, 52 м²",52 м²,Центральное,,,11,,,,,Кирпичный,Железобетонные,,9600000,184 615,,4 из 9
Нет,"Москва, САО, р-н Беговой, Ленинградский просп., 15С28",,,2019,,,,"1 пассажирский, 1 грузовой", ⋅  14 мин. пешком, ⋅  20 мин. пешком, ⋅  23 мин. пешком,Нет,"1-комн. апартаменты, 36,18 м²","36,18 м²",,,Подземная,,,,,,Монолитный,,,14500000,400 774,,7 из 7
Нет,"Москва, ВАО, р-н Соколиная гора, Лечебная ул., 3",,Центральное,1958,35 м²,,8 м²,Нет, ⋅  8 мин. пешком, ⋅  13 мин. пешком, ⋅  19 мин. пешком,Нет,"2-комн. квартира, 60 м²",60 м²,Центральное,,,2,,1958,,,Кирпичный,Железобетонные,,9000000,150 000,,1 из 5
,"Москва, САО, р-н Савеловский, ул. Юннатов, 4А",,,,"14,5 м²",,"20,1 м²","2 пассажирских, 1 грузовой", ⋅  10 мин. пешком, ⋅  12 мин. пешком, ⋅  4 мин. на транспорте,,"1-комн. квартира, 48,1 м²","48,1 м²",,,Подземная,,,,1 кв. 2021,,,,,13410280,278 800,,5 из 14
,"Москва, ЦАО, р-н Пресненский, Мантулинская ул., вл7",,,,"17,8 м²",,"26,8 м²",Нет, ⋅  12 мин. пешком, ⋅  15 мин. пешком, ⋅  15 мин. пешком,,"2-комн. квартира, 63,4 м²","63,4 м²",,,Многоуровневая,,,,,,,,,31300000,493 691,,8 из 21
Нет,"Москва, СВАО, р-н Бутырский, ул. Руставели, 6К5",,Центральное,1966,"21,5 м²",,"5,2 м²",1 пассажирский, ⋅  12 мин. пешком, ⋅  10 мин. пешком, ⋅  17 мин. пешком,,"1-комн. квартира, 33 м²",33 м²,Центральное,,,1,,1967,,II-18,Блочный,Железобетонные,,7750000,234 848,,3 из 9
Нет,"Москва, ЦАО, р-н Арбат, Филипповский пер., 8С1",,,2002,,,,Нет, ⋅  7 мин. пешком, ⋅  7 мин. пешком,,,"2-комн. квартира, 114 м²",114 м²,Центральное,,,1,,,,,Монолитный,Железобетонные,,85000000,745 614,,6 из 9
Нет,"Москва, ЦАО, р-н Басманный, Хохловский пер., 10С7",,Центральное,1966,,,,1 пассажирский, ⋅  15 мин. пешком,,,,"2-комн. квартира, 41,2 м²","41,2 м²",Центральное,,,4,,,,,Кирпичный,Железобетонные,,19100000,463 592,,6 из 9
,"Москва, ЦАО, р-н Пресненский, ул. Сергея Макеева, 9",,,,"37,9 м²",,"15,2 м²",1 пассажирский, ⋅  12 мин. пешком, ⋅  20 мин. пешком, ⋅  23 мин. пешком,,"2-комн. квартира, 93,79 м²","93,79 м²",,,Подземная,,,2017,,,,,,47000000,501 120,,3 из 21
Нет,"Москва, ЦАО, р-н Арбат, Поварская ул., 8/1С1",,Центральное,1887,,,,Нет, ⋅  6 мин. пешком, ⋅  11 мин. пешком,,,"2-комн. апартаменты, 73,3 м²","73,3 м²",Центральное,,,2,,,,,Кирпичный,Деревянные,,55000000,750 341,,2 из 7
,"Москва, ЦАО, р-н Мещанский, Цветной бул., 32С3",,,,,,,, ⋅  5 мин. пешком, ⋅  9 мин. пешком, ⋅  9 мин. пешком,,"2-комн. апартаменты, 37,8 м²","37,8 м²",,,,,,,,,,,,20000000,529 101,,3 из 8
,"Московская область, Видное, ул. Ермолинская",,,,30 м²,,,"1 пассажирский, 1 грузовой", ⋅  20 мин. на транспорте, ⋅  25 мин. на транспорте, ⋅  30 мин. на транспорте,,"2-комн. квартира, 56 м²",56 м²,,,Многоуровневая,,,2019,,,Монолитный,,,5488000,98 000,,5 из 15
Нет,"Москва, ЦАО, р-н Тверской, Долгоруковская ул., 6",,,2001,"96,5 м²",,20 м²,"1 пассажирский, 1 грузовой", ⋅  6 мин. пешком, ⋅  10 мин. пешком, ⋅  12 мин. пешком,,"4-комн. квартира, 148,4 м²","148,4 м²",,,Подземная,3,,2001,,,,Железобетонные,,49500000,333 558,,5 из 12
Нет,"Москва, ЮЗАО, р-н Южное Бутово, Изюмская ул., 34К1",,,2001,"14,4 м²",,"9,3 м²","1 пассажирский, 1 грузовой", ⋅  7 мин. пешком,,,,"1-комн. квартира, 35,6 м²","35,6 м²",Центральное,,,2,,,,П-3М,Панельный,Железобетонные,,6500000,182 584,,2 из 12
Нет,"Москва, ЦАО, р-н Таганский, Котельническая наб., 21",,,2018,,,,"1 пассажирский, 1 грузовой", ⋅  7 мин. пешком,,,Есть,"2-комн. квартира, 96,7 м²","96,7 м²",Центральное,,Подземная,4,,2018,,,,,,114000000,1 178 904,,4 из 7
Нет,"Москва, ЦАО, р-н Таганский, Котельническая наб., 21",,,2018,,,,"1 пассажирский, 1 грузовой", ⋅  7 мин. пешком,,,Есть,"2-комн. квартира, 137,7 м²","137,7 м²",Центральное,,Подземная,4,,2018,,,,,,117045000,850 000,,6 из 7
Нет,"Москва, СЗАО, р-н Щукино, ул. Маршала Вершинина, 6",,Центральное,1970,16 м²,,6 м²,Нет, ⋅  5 мин. на транспорте, ⋅  5 мин. пешком, ⋅  5 мин. пешком,Нет,"1-комн. квартира, 30 м²",30 м²,Центральное,,Наземная,4,,,,1-511,Кирпичный,Железобетонные,,6550000,218 333,,1 из 5
Нет,"Москва, САО, р-н Аэропорт, Кочновский проезд, 4к1",,,2008,30 м²,,17 м²,"2 пассажирских, 2 грузовых", ⋅  16 мин. пешком, ⋅  31 мин. пешком, ⋅  26 мин. пешком,Есть,"2-комн. квартира, 65,5 м²","65,5 м²",Центральное,,Многоуровневая,8,,2008,,,Монолитный,Железобетонные,,22900000,349 618,,7 из 34
Нет,"Москва, ЦАО, р-н Замоскворечье, Мытная ул., 7с1",,,2013,,,,"1 пассажирский, 1 грузовой", ⋅  10 мин. пешком, ⋅  9 мин. пешком, ⋅  12 мин. пешком,Есть,"2-комн. квартира, 73,3 м²","73,3 м²",Центральное,,Подземная,21,,2013,,,Кирпичный,Железобетонные,,56000000,763 984,,9 из 14
,"Московская область, Солнечногорск городской округ, Брехово деревня, Школьный микрорайон, к7",,,,19 м²,,8 м²,, ⋅  15 мин. на транспорте, ⋅  15 мин. на транспорте, ⋅  20 мин. на транспорте,,"1-комн. квартира, 38 м²",38 м²,,,,,,,,,,,,3500000,92 105,,8 из 17
,"Москва, ЦАО, р-н Пресненский, 1-й Красногвардейский проезд, вл17-18",,,,,,,1 пассажирский, ⋅  6 мин. пешком, ⋅  7 мин. пешком,,,"2-комн. апартаменты, 80,9 м²","80,9 м²",,,Подземная,,,,4 кв. 2020,,,,,36890400,456 000,,35 из 63
,"Москва, ЮАО, р-н Даниловский, Летниковская ул., 13",,,,"42,3 м²",,,, ⋅  14 мин. пешком,,,,"2-комн. апартаменты, 54,82 м²","54,82 м²",,,,,,,3 кв. 2020,,,,,19077360,348 000,,7 из 10
,"Москва, ЮАО, р-н Даниловский, Летниковская ул., 13",,,,"40,5 м²",,,, ⋅  14 мин. пешком,,,,"2-комн. апартаменты, 50,44 м²","50,44 м²",,,,,,,3 кв. 2020,,,,,15384200,305 000,,3 из 10
,"Москва, ЮАО, р-н Даниловский, Летниковская ул., 13",,,,"44,1 м²",,,, ⋅  14 мин. пешком,,,,"2-комн. апартаменты, 59,85 м²","59,85 м²",,,,,,,3 кв. 2020,,,,,21426300,358 000,,9 из 10
Нет,"Москва, СЗАО, р-н Хорошево-Мневники, ул. Демьяна Бедного, 15",,,,"34,8 м²",,9 м²,"1 пассажирский, 1 грузовой", откроется в 2020, ⋅  1 мин. на транспорте, ⋅  2 мин. на транспорте,,"2-комн. квартира, 59,4 м²","59,4 м²",,,Подземная,,,,3 кв. 2018,,,,,14612400,246 000,,2 из 16
Нет,"Москва, ЦАО, р-н Басманный, ул. Машкова, 13С1",,,2018,38 м²,,5 м²,1 пассажирский,,,,,"1-комн. апартаменты, 46 м²",46 м²,,,,,,,,,Монолитный,,,22000000,478 261,,2 из 5
Нет,"Москва, ЦАО, р-н Пресненский, Мантулинская ул., 9к1",,,,14 м²,,"26,4 м²",Нет, ⋅  12 мин. пешком, ⋅  15 мин. пешком, ⋅  15 мин. пешком,,"2-комн. квартира, 53,4 м²","53,4 м²",,,Многоуровневая,,,,,,,,,33000000,617 978,,11 из 12
,"Москва, ЦАО, р-н Басманный, Нижняя Красносельская ул., 35С2",,,,34 м²,,10 м²,"2 пассажирских, 2 грузовых", ⋅  7 мин. пешком,,,,"2-комн. апартаменты, 52,4 м²","52,4 м²",,,,,,,,,,,,15999999,305 343,,7 из 7
Нет,"Москва, ЦАО, р-н Якиманка, Донская ул., 14К1",,,1936,45 м²,,10 м²,Нет, ⋅  6 мин. пешком, ⋅  12 мин. пешком, ⋅  9 мин. на транспорте,,"2-комн. квартира, 57,3 м²","57,3 м²",,,Подземная,5,,,,,Кирпичный,,,29200000,509 599,,5 из 16
,"Московская область, Дмитровский городской округ, Некрасовский пгт, Строителей микрорайон, 42",,,,16 м²,,"7,5 м²",, ⋅  30 мин. на транспорте,,,,"1-комн. квартира, 37,5 м²","37,5 м²",,,,,,,,,,,,3400000,90 667,,5 из 17
Нет,"Москва, ЦАО, р-н Хамовники, ул. Усачева, 2С3",,,2008,,,,Нет, ⋅  8 мин. пешком, ⋅  12 мин. пешком, ⋅  18 мин. пешком,Нет,"2-комн. квартира, 105 м²",105 м²,Центральное,,,10,,,,,Монолитный,Железобетонные,,95000000,904 762,,8 из 11
,"Москва, СЗАО, р-н Хорошево-Мневники, бул. Генерала Карбышева, 13А",,,,28 м²,,8 м²,, ⋅  7 мин. на транспорте, ⋅  7 мин. на транспорте, ⋅  9 мин. на транспорте,,"2-комн. квартира, 43 м²",43 м²,,,,,,2015,,,,,,17870000,415 581,,23 из 31
,"Москва, СВАО, р-н Алексеевский, Маломосковская ул., 14",,,,35 м²,,15 м²,"1 пассажирский, 1 грузовой", ⋅  10 мин. пешком,,,,"2-комн. квартира, 64 м²",64 м²,,,,,,,,,,,,17800000,278 125,,11 из 22
Нет,"Москва, СЗАО, р-н Щукино, ул. Маршала Рыбалко, 2к9",,,2012,"31,7 м²",,"23,8 м²",2 пассажирских, ⋅  2 мин. пешком, ⋅  7 мин. пешком, ⋅  19 мин. пешком,Нет,"2-комн. апартаменты, 72,4 м²","72,4 м²",,,Подземная,,,2012,,,Монолитный,,,18400000,254 144,,4 из 9
Нет,"Московская область, Пушкино, мкр. Центральный, Московский просп., 15",,Центральное,1964,15 м²,,6 м²,Нет, ⋅  50 мин. на транспорте,,,,"1-комн. квартира, 31 м²",31 м²,Центральное,,,4,,,,,Панельный,Железобетонные,,3350000,108 065,,4 из 5
Нет,"Москва, САО, р-н Савеловский, Вятская ул., 53",,Центральное,1960,"28,4 м²",,"5,6 м²",Нет, ⋅  4 мин. пешком, ⋅  19 мин. пешком, ⋅  21 мин. пешком,,"2-комн. квартира, 43,9 м²","43,9 м²",Центральное,,,4,,,,1-510,Блочный,Железобетонные,,8800000,200 456,,5 из 5
,"Москва, ЮЗАО, р-н Академический, Новочеремушкинская ул., 17к1",,,,"19,1 м²",,"33,4 м²",, ⋅  10 мин. пешком, ⋅  2 мин. на транспорте, ⋅  2 мин. на транспорте,,"1-комн. квартира, 84,02 м²","84,02 м²",,,,,,,1 кв. 2020,,,,,37809000,450 000,,18 из 18
,"Московская область, Балашиха, мкр. Железнодорожный (Центральный), Железнодорожный микрорайон, ул. Андрея Белого, 2",,,,20 м²,,10 м²,, ⋅  12 мин. на транспорте, ⋅  18 мин. на транспорте,,,"1-комн. квартира, 40 м²",40 м²,,,,,,,,,,,,3850000,96 250,,9 из 17
Нет,"Москва, ЗАО, р-н Раменки, ул. Пырьева, 9к3",,,2005,,,37 м²,1 пассажирский, ⋅  20 мин. пешком, ⋅  24 мин. пешком, ⋅  35 мин. пешком,Есть,"2-комн. квартира, 71 м²",71 м²,Центральное,,Подземная,1,,2005,,,Монолитный,Железобетонные,,22490000,316 761,,12 из 22
Нет,"Московская область, Королев, мкр. Мичурина, ул. Мичурина, 21",,,1995,19 м²,,9 м²,2 пассажирских, ⋅  40 мин. на транспорте,,,,"1-комн. квартира, 38,2 м²","38,2 м²",Центральное,,Наземная,10,,1995,,,Панельный,Железобетонные,,3650000,95 550,,10 из 16
,"Москва, СВАО, р-н Марфино, Гостиничная ул., 12К6",,,,,,,"1 пассажирский, 1 грузовой", ⋅  7 мин. пешком, ⋅  6 мин. пешком, ⋅  15 мин. пешком,,"1-комн. апартаменты, 25 м²",25 м²,,,,,,,,,,,,4790000,191 600,,1 из 5
Нет,"Москва, САО, р-н Ховрино, ул. Дыбенко, 38к1",,,2010,,,,Нет, ⋅  2 мин. пешком, ⋅  22 мин. пешком, ⋅  36 мин. пешком,,"2-комн. квартира, 79,1 м²","79,1 м²",Центральное,,,1,,,,,Монолитный,Железобетонные,,21250000,268 647,,31 из 40
,"Москва, ЮЗАО, р-н Гагаринский, Ленинский просп., 38",,,,,,,"2 пассажирских, 2 грузовых", ⋅  13 мин. пешком, ⋅  14 мин. пешком, ⋅  19 мин. пешком,,"2-комн. апартаменты, 61 м²",61 м²,,,,,,,,,,,,24000000,393 443,,5 из 19
Нет,"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 8",,,2011,50 м²,,20 м²,"3 пассажирских, 1 грузовой", ⋅  11 мин. пешком, ⋅  15 мин. на транспорте, ⋅  10 мин. на транспорте,Есть,"2-комн. квартира, 100 м²",100 м²,Центральное,,,5,,2011,,,Монолитный,Железобетонные,,52500000,525 000,,26 из 53
,"Московская область, Мытищи, просп. Астрахова, 11",,,,"20,6 м²",,"10,1 м²",, ⋅  9 мин. на транспорте, ⋅  11 мин. на транспорте, ⋅  14 мин. на транспорте,,"1-комн. квартира, 40,4 м²","40,4 м²",,,,,,,3 кв. 2021,,,,,4973240,123 100,,11 из 18
Нет,"Московская область, Щелково, мкр. Богородский, 5",,,2013,33 м²,,12 м²,"1 пассажирский, 1 грузовой", ⋅  50 мин. на транспорте,,,,"2-комн. квартира, 62 м²",62 м²,Индивидуальный тепловой пункт,,Наземная,5,,2014,,,Монолитный,Железобетонные,,4690000,75 645,,1 из 16
,"Московская область, Одинцовский городской округ, Немчиновка село, ул. Связистов, 7",,,,"33,9 м²",,13 м²,, ⋅  15 мин. на транспорте, ⋅  15 мин. на транспорте,,,"2-комн. квартира, 64,4 м²","64,4 м²",,,,,,2016,,,,,,7211739,111 984,,8 из 15
,"Москва, ЦАО, р-н Пресненский, 2-я Звенигородская ул.",,,,"25,6 м²",,"27,6 м²",1 пассажирский, ⋅  7 мин. пешком, ⋅  2 мин. на транспорте, ⋅  3 мин. на транспорте,,"2-комн. квартира, 72,35 м²","72,35 м²",,,Подземная,,,,2 кв. 2022,,Монолитный,,,40118075,554 500,,17 из 21
Нет,"Москва, ВАО, р-н Сокольники, Стромынский пер., 6",,,2013,,,,1 пассажирский, ⋅  13 мин. пешком,,,Есть,"2-комн. апартаменты, 44 м²",44 м²,,,Подземная,,,,,,Монолитный,,,12650000,287 500,,4 из 5
Нет,"Москва, ЗАО, р-н Можайский, Можайское ш., 22к1",,,2009,23 м²,,15 м²,"1 пассажирский, 1 грузовой", ⋅  9 мин. на транспорте,,,,"2-комн. квартира, 47 м²",47 м²,Центральное,,Подземная,2,,,,,,Железобетонные,,12990000,276 383,,17 из 24
Нет,"Москва, ЦАО, р-н Пресненский, Большой Палашевский пер., 3",,Центральное,1972,"44,2 м²",,"12,7 м²","1 пассажирский, 1 грузовой", ⋅  5 мин. пешком,,,Есть,"2-комн. квартира, 80 м²",80 м²,Центральное,,Наземная,1,,,,,Кирпичный,Железобетонные,,54900000,686 250,,3 из 12
