Адрес,Жилая,Кухня,Общая,Цена,Цена за квадрат,Этаж,Этажность здания,Время,Способ передвижения,Координаты
"Москва, СЗАО, р-н Хорошево-Мневники, ул. Генерала Глаголева",12.6,19.6,50.0,10260000.0,205200.0,13,22,3.0,на транспорте,"(55.784374, 37.46335, 0.0)"
"Москва, СЗАО, р-н Хорошево-Мневники, ул. Генерала Глаголева",14.3,21.2,48.2,9753270.0,202350.0,2,22,3.0,на транспорте,"(55.784374, 37.46335, 0.0)"
"Москва, СЗАО, р-н Хорошево-Мневники, ул. Генерала Глаголева",33.6,15.0,60.3,13145400.0,218000.0,2,22,3.0,на транспорте,"(55.784374, 37.46335, 0.0)"
"Москва, СЗАО, р-н Хорошево-Мневники, ул. Генерала Глаголева",29.0,27.2,75.2,15040000.0,200000.0,2,22,3.0,на транспорте,"(55.784374, 37.46335, 0.0)"
"Москва, СЗАО, р-н Хорошево-Мневники, ул. Генерала Глаголева",12.6,14.2,38.2,7802350.0,204250.0,2,22,3.0,на транспорте,"(55.784374, 37.46335, 0.0)"
"Москва, СЗАО, р-н Хорошево-Мневники, ул. Генерала Глаголева",24.3,16.7,56.6,12225600.0,216000.0,3,22,3.0,на транспорте,"(55.784374, 37.46335, 0.0)"
"Москва, СЗАО, р-н Хорошево-Мневники, ул. Генерала Глаголева",29.0,27.2,75.2,15040000.0,200000.0,3,22,3.0,на транспорте,"(55.784374, 37.46335, 0.0)"
"Москва, СЗАО, р-н Хорошево-Мневники, ул. Генерала Глаголева",12.7,25.7,61.0,13420000.0,220000.0,4,22,3.0,на транспорте,"(55.784374, 37.46335, 0.0)"
"Москва, СЗАО, р-н Хорошево-Мневники, ул. Генерала Глаголева",29.0,27.2,75.2,16393600.0,218000.0,4,22,3.0,на транспорте,"(55.784374, 37.46335, 0.0)"
"Москва, СЗАО, р-н Хорошево-Мневники, ул. Генерала Глаголева",33.6,15.0,60.3,12602700.0,209000.0,12,22,3.0,на транспорте,"(55.784374, 37.46335, 0.0)"
"Москва, САО, р-н Войковский, ул. Адмирала Макарова, 6С13",15.8,16.1,43.2,8454240.0,195700.0,4,28,11.0,пешком,"(55.83566, 37.490497, 0.0)"
"Москва, САО, р-н Войковский, ул. Адмирала Макарова, 6С13",11.1,12.7,34.9,9423000.0,270000.0,33,34,11.0,пешком,"(55.83566, 37.490497, 0.0)"
"Москва, СЗАО, р-н Хорошево-Мневники, бул. Генерала Карбышева",32.7,10.5,64.5,19853100.0,307800.0,9,28,7.0,на транспорте,"(55.780709, 37.469826, 0.0)"
"Москва, СЗАО, р-н Хорошево-Мневники, бул. Генерала Карбышева",13.7,19.2,49.0,13173650.0,268850.0,16,28,7.0,на транспорте,"(55.780709, 37.469826, 0.0)"
"Москва, СЗАО, р-н Хорошево-Мневники, бул. Генерала Карбышева",12.9,12.6,40.8,10036800.0,246000.0,2,28,7.0,на транспорте,"(55.780709, 37.469826, 0.0)"
"Москва, ЦАО, р-н Басманный, Покровский бул., 5С1",,,78.6,39300000.0,500000.0,2,7,9.0,пешком,"(55.755925, 37.649454, 0.0)"
"Москва, ЦАО, р-н Мещанский, Протопоповский пер., 17К1",,,89.0,48000000.0,539326.0,3,13,6.0,пешком,"(55.781033, 37.636356, 0.0)"
"Москва, ЗАО, р-н Филевский парк, Багратионовский проезд",,,46.0,12300000.0,267391.0,18,40,6.0,пешком,"(55.744298, 37.507223, 0.0)"
"Москва, САО, р-н Головинский, Кронштадтский бул., 6к2",22.0,6.0,48.0,9500000.0,197917.0,11,24,10.0,пешком,"(55.841261, 37.494422, 0.0)"
"Московская область, Жуковский, ул. Гагарина, 62",17.5,10.0,41.22,3000000.0,72780.0,3,25,20.0,на транспорте,"(55.609151, 38.087382, 0.0)"
"Москва, ЦАО, р-н Таганский, Наставнический пер., 3",40.0,10.0,88.7,27900000.0,314543.0,3,10,8.0,пешком,"(55.751903, 37.664069, 0.0)"
"Москва, СЗАО, р-н Хорошево-Мневники, 3-я Хорошевская ул., 21к6",21.5,13.0,51.0,13100000.0,256863.0,19,19,7.0,пешком,"(55.786166, 37.497836, 0.0)"
"Москва, ЦАО, р-н Красносельский, пер. Даев, 5",,,117.0,49990000.0,427265.0,3,7,4.0,пешком,"(55.770801, 37.635754, 0.0)"
"Москва, ВАО, р-н Богородское, Погонный проезд, 3ак2",38.8,11.7,73.0,20350000.0,278767.0,11,30,3.0,на транспорте,"(55.820486, 37.701385, 0.0)"
"Москва, СЗАО, р-н Щукино, Авиационная ул., 77к2",36.0,10.0,60.7,22000000.0,362438.0,7,30,9.0,пешком,"(55.809348, 37.450863, 0.0)"
"Москва, САО, р-н Беговой, ул. 3-я Ямского Поля, 9",,,64.0,26499000.0,414047.0,3,6,8.0,пешком,"(55.781626, 37.580894, 0.0)"
"Москва, ЦАО, р-н Красносельский, пер. Докучаев, 2с3",,,57.0,24000000.0,421053.0,9,19,11.0,пешком,"(55.774548, 37.641566, 0.0)"
"Москва, САО, р-н Сокол, ул. Саврасова, 6",70.0,,116.0,104000000.0,896552.0,1,2,10.0,пешком,"(55.804552, 37.502516, 0.0)"
"Москва, СВАО, р-н Останкинский, ул. Годовикова",24.6,11.8,57.73,11834650.0,205000.0,2,34,12.0,пешком,"(55.809742, 37.628918, 0.0)"
"Москва, ЗАО, р-н Тропарево-Никулино, просп. Вернадского, 94к1",,,91.6,35500000.0,387555.0,30,37,12.0,пешком,"(55.652659, 37.475513, 0.0)"
"Москва, ЮВАО, р-н Южнопортовый, ул. Сайкина, 11/2",25.0,8.0,52.0,8950000.0,172115.0,1,8,7.0,пешком,"(55.706726, 37.668534, 0.0)"
"Москва, ЮВАО, р-н Люблино, Белореченская ул., 6",36.0,9.5,55.0,11000000.0,200000.0,9,17,6.0,пешком,"(55.673747, 37.76468, 0.0)"
"Москва, СВАО, р-н Останкинский, ул. Годовикова",28.9,13.4,71.95,16692400.0,232000.0,24,34,12.0,пешком,"(55.809742, 37.628918, 0.0)"
"Москва, ЦАО, р-н Замоскворечье, Мытная ул., 7с1",50.0,20.0,75.0,49499999.0,660000.0,7,11,5.0,пешком,"(55.722142, 37.618569, 0.0)"
"Московская область, Видное, бул. Зеленые аллеи, к2/6",11.5,5.0,26.1,2960000.0,113410.0,12,17,20.0,на транспорте,"(55.560565, 37.707826, 0.0)"
"Москва, ВАО, р-н Гольяново, Амурская ул., 40",29.0,6.0,44.0,7900000.0,179545.0,2,5,15.0,пешком,"(55.812595, 37.78182, 0.0)"
"Москва, ЮВАО, р-н Выхино-Жулебино, Ташкентская ул., 34К5",19.0,7.7,39.0,7600000.0,194872.0,5,17,4.0,на транспорте,"(55.69764, 37.797038, 0.0)"
"Московская область, Балашиха, мкр. Алексеевская Роща, ул. Дмитриева, 14",31.0,10.0,60.0,6700000.0,111667.0,13,25,11.0,на транспорте,"(55.834527, 37.926755, 0.0)"
"Москва, ЮАО, р-н Даниловский, ул. Архитектора Щусева, 2к3",15.6,13.1,41.6,11831040.0,284400.0,14,14,15.0,пешком,"(55.700613, 37.633634, 0.0)"
"Москва, ЮЗАО, р-н Обручевский, Ленинский просп., 111к1",,,62.0,25500000.0,411290.0,46,48,3.0,на транспорте,"(55.661328, 37.509343, 0.0)"
"Москва, ЦАО, р-н Пресненский, Ходынская ул., 2",38.0,16.0,68.8,20500000.0,297965.0,13,44,8.0,пешком,"(55.770806, 37.564212, 0.0)"
"Москва, ЦАО, р-н Пресненский, Ходынская ул., 2",20.0,16.0,49.2,15900000.0,323171.0,22,44,10.0,пешком,"(55.770806, 37.564212, 0.0)"
"Москва, ЦАО, р-н Пресненский, Ходынская ул., 2",22.0,14.0,49.5,16000000.0,323232.0,43,44,8.0,пешком,"(55.770806, 37.564212, 0.0)"
"Москва, СВАО, р-н Южное Медведково, Заповедная ул., 16к3",32.2,9.2,54.4,10300000.0,189338.0,11,16,19.0,пешком,"(55.868799, 37.637192, 0.0)"
"Москва, ЗАО, р-н Кунцево, Ярцевская ул., 31",24.8,14.8,65.7,18800000.0,286149.0,11,22,4.0,пешком,"(55.743461, 37.418425, 0.0)"
"Московская область, Одинцово, ул. Чистяковой",16.8,10.3,36.9,5815440.0,157600.0,14,25,13.0,на транспорте,"(55.696965, 37.326294, 0.0)"
"Москва, ЮАО, р-н Даниловский, ул. Архитектора Щусева, 2к3",15.0,12.0,42.0,10800000.0,257143.0,2,14,15.0,пешком,"(55.700613, 37.633634, 0.0)"
"Московская область, Раменский городской округ, Родники пгт, ул. Большая Учительская, 10",24.4,6.1,45.3,3850000.0,84989.0,4,5,29.0,на транспорте,"(55.648438, 38.053677, 0.0)"
"Москва, ЗАО, р-н Кунцево, Рублевское ш., 107",25.0,15.0,58.0,16480000.0,284138.0,6,40,4.0,на транспорте,"(55.744308, 37.419521, 0.0)"
"Москва, ЦАО, р-н Хамовники, Трубецкая ул., 12",47.5,29.8,101.7,61912540.0,608776.0,8,13,3.0,пешком,"(55.727004, 37.574552, 0.0)"
"Москва, ЦАО, р-н Хамовники, ул. Ефремова, 10к1",34.0,23.0,67.0,39000000.0,582090.0,4,14,3.0,пешком,"(55.725331, 37.573717, 0.0)"
"Москва, ЗАО, р-н Раменки, Ломоносовский просп., 29к1",45.0,18.0,73.7,28400000.0,385346.0,2,15,5.0,пешком,"(55.703611, 37.516467, 0.0)"
"Москва, ЦАО, р-н Замоскворечье, Садовническая ул., 57АС1",110.7,6.3,152.5,54750000.0,359016.0,4,7,10.0,пешком,"(55.739407, 37.641845, 0.0)"
"Москва, ЦАО, р-н Пресненский, 2-я Звенигородская ул., 11",27.7,23.4,81.5,46430000.0,569693.0,2,18,10.0,пешком,"(55.761538, 37.554214, 0.0)"
"Москва, ЗАО, р-н Тропарево-Никулино, ул. Мичуринский проспект Олимпийская деревня, 1к1",,10.0,48.0,15000000.0,312500.0,5,23,5.0,на транспорте,"(55.679433, 37.469638, 0.0)"
"Москва, ЗАО, р-н Фили-Давыдково, Давыдковская ул., 18",51.0,14.7,82.0,25499999.0,310976.0,2,22,12.0,пешком,"(55.721027, 37.463898, 0.0)"
"Москва, ЗАО, р-н Фили-Давыдково, Давыдковская ул., 18",28.0,16.0,57.0,26000000.0,456140.0,7,22,12.0,пешком,"(55.721027, 37.463898, 0.0)"
"Москва, ЗАО, р-н Тропарево-Никулино, просп. Вернадского, 94к5",25.0,8.0,54.0,20000000.0,370370.0,5,14,12.0,пешком,"(55.652197, 37.473042, 0.0)"
"Москва, СЗАО, р-н Хорошево-Мневники, Карамышевская наб., 2А",,17.0,78.2,14000000.0,179028.0,2,9,3.0,на транспорте,"(55.769135, 37.494521, 0.0)"
"Москва, САО, р-н Беговой, Верхняя ул., 20к1",,,84.0,41500000.0,494048.0,14,22,10.0,пешком,"(55.77919, 37.574309, 0.0)"
"Москва, ЦАО, р-н Тверской, ул. Большая Дмитровка, 9С1",,,86.0,79673957.0,926441.0,2,6,4.0,пешком,"(55.761355, 37.614294, 0.0)"
"Москва, НАО (Новомосковский), Воскресенское поселение, проезд Чечерский, 122к2",21.0,10.0,42.0,7200000.0,171429.0,3,17,20.0,пешком,"(55.525858, 37.513224, 0.0)"
"Московская область, Домодедово, мкр. Новое Домодедово, ул. Курыжова, 28",,11.0,39.1,3400000.0,86957.0,9,22,20.0,на транспорте,"(55.39339, 37.770079, 0.0)"
"Москва, ЦАО, р-н Пресненский, наб. Пресненская, 8с1",,,105.0,69000000.0,657143.0,41,76,3.0,пешком,"(55.747115, 37.539078, 0.0)"
"Москва, САО, р-н Хорошевский, ул. Зорге",17.7,11.6,43.6,9722800.0,223000.0,5,27,12.0,пешком,"(55.788323, 37.508274, 0.0)"
"Московская область, Одинцово, ул. Чистяковой",13.5,20.3,44.3,6627280.0,149600.0,22,25,13.0,на транспорте,"(55.696965, 37.326294, 0.0)"
"Московская область, Одинцово, ул. Чистяковой",16.8,10.3,36.9,5686290.0,154100.0,22,25,13.0,на транспорте,"(55.696965, 37.326294, 0.0)"
"Москва, ЮАО, р-н Чертаново Северное, Чертановская ул., 7А",,,20.0,3300000.0,165000.0,3,6,10.0,пешком,"(55.630863, 37.601358, 0.0)"
"Москва, ЮВАО, р-н Некрасовка, ул. Ухтомского Ополчения, 4",38.0,13.0,64.0,9060000.0,141563.0,8,17,12.0,на транспорте,"(55.699659, 37.92538, 0.0)"
"Москва, НАО (Новомосковский), Коммунарка поселок, ул. Фитаревская",15.7,10.2,33.0,4410000.0,133636.0,5,15,2.0,на транспорте,"(55.567107, 37.480606, 0.0)"
"Москва, СВАО, р-н Алексеевский, ул. Павла Корчагина, 11",31.0,6.5,48.0,9350000.0,194792.0,11,12,5.0,на транспорте,"(55.817309, 37.659649, 0.0)"
"Москва, ЦАО, р-н Басманный, ул. Новая Дорога, 3",34.0,10.0,49.0,14999000.0,306102.0,10,15,19.0,пешком,"(55.771393, 37.701583, 0.0)"
"Москва, ЦАО, р-н Пресненский, 1-й Красногвардейский проезд, 21с2",75.0,,93.0,65000000.0,698925.0,45,85,8.0,пешком,"(55.74938, 37.534092, 0.0)"
"Московская область, Химки, мкр. Старые Химки, ул. Кудрявцева, 12",34.0,10.0,82.8,8950000.0,108092.0,28,29,20.0,на транспорте,"(55.895464, 37.465218, 0.0)"
"Москва, ЮВАО, р-н Южнопортовый, ул. 1-я Машиностроения, 10",70.0,17.0,122.0,40000000.0,327869.0,19,20,5.0,пешком,"(55.714191, 37.670914, 0.0)"
"Московская область, Балашиха, мкр. 28-й, Первомайский проезд, 1",38.0,18.0,64.0,6500000.0,101563.0,11,24,10.0,на транспорте,"(55.792943, 37.933869, 0.0)"
"Москва, ВАО, р-н Богородское, Краснобогатырская ул., 38",16.4,13.2,41.1,7603500.0,185000.0,2,17,5.0,на транспорте,"(55.810364, 37.702535, 0.0)"
"Москва, ЦАО, р-н Пресненский, 1-й Красногвардейский проезд, вл17-18",50.0,16.5,78.4,40500000.0,516582.0,69,79,7.0,пешком,"(55.751138, 37.533742, 0.0)"
"Москва, ЗАО, р-н Очаково-Матвеевское, Нежинская ул., 1к4",63.9,8.1,115.0,39990000.0,347739.0,19,31,4.0,на транспорте,"(55.718248, 37.477175, 0.0)"
"Москва, САО, р-н Хорошевский, ул. Зорге, вл9",19.6,,28.2,6373000.0,225993.0,10,17,8.0,пешком,"(55.781818, 37.506639, 0.0)"
"Москва, ЗАО, р-н Раменки, ул. Пырьева, 2",30.0,13.0,60.0,25990000.0,433167.0,4,17,4.0,на транспорте,"(55.724697, 37.528118, 0.0)"
"Москва, ЗАО, р-н Кунцево, Оршанская ул., 11",33.7,10.1,56.0,12300000.0,219643.0,6,17,13.0,пешком,"(55.743289, 37.402237, 0.0)"
"Москва, ВАО, р-н Соколиная гора, Измайловское ш., 15К2",15.2,4.8,30.0,7499000.0,249967.0,5,5,5.0,пешком,"(55.780203, 37.725604, 0.0)"
"Москва, ЦАО, р-н Басманный, ул. Земляной Вал, 32",29.0,6.0,45.0,13950000.0,310000.0,5,5,5.0,пешком,"(55.75704, 37.657071, 0.0)"
"Москва, ЗАО, р-н Фили-Давыдково, ул. Герасима Курина, 14К2",32.0,10.0,56.0,13950000.0,249107.0,11,17,4.0,пешком,"(55.731916, 37.475522, 0.0)"
"Москва, САО, р-н Аэропорт, Ленинградский просп., 36с38",33.0,14.0,75.0,23900000.0,318667.0,5,15,9.0,пешком,"(55.789466, 37.567186, 0.0)"
"Москва, ЮАО, р-н Нагатинский затон, Коломенская ул., 15К1",21.0,10.0,39.0,7800000.0,200000.0,2,12,9.0,на транспорте,"(55.678311, 37.697981, 0.0)"
"Москва, ЦАО, р-н Тверской, 4-я Тверская-Ямская ул., 22к2",,,160.0,77160960.0,482256.0,4,12,5.0,пешком,"(55.774487, 37.595447, 0.0)"
"Московская область, Видное, бул. Зеленые аллеи, к2/6",26.0,5.0,38.39,3940000.0,102631.0,1,17,20.0,на транспорте,"(55.560565, 37.707826, 0.0)"
"Москва, СЗАО, р-н Покровское-Стрешнево, Ленинградское ш., 23",55.0,15.0,78.6,43950000.0,559160.0,3,3,7.0,пешком,"(55.821795, 37.487847, 0.0)"
"Москва, ЦАО, р-н Пресненский, Малая Бронная ул., 34",,,49.8,49000000.0,983936.0,1,8,10.0,пешком,"(55.764409, 37.593075, 0.0)"
"Москва, САО, р-н Хорошевский, ул. Зорге",33.8,10.8,62.7,14859900.0,237000.0,17,26,12.0,пешком,"(55.788323, 37.508274, 0.0)"
"Московская область, Реутов, мкр. Южный Реутов, Юбилейный просп., 66",32.0,10.0,57.0,8790000.0,154211.0,14,25,13.0,пешком,"(55.752683, 37.881686, 0.0)"
"Москва, СЗАО, р-н Хорошево-Мневники, Карамышевская наб., 2А",21.0,12.0,51.0,10700000.0,209804.0,14,31,3.0,на транспорте,"(55.769135, 37.494521, 0.0)"
"Московская область, Одинцово, ул. Чистяковой",18.0,11.6,39.4,5330820.0,135300.0,23,25,13.0,на транспорте,"(55.696965, 37.326294, 0.0)"
"Москва, ЦАО, р-н Хамовники, Погодинская ул., вл2/3",,,65.0,41500000.0,638462.0,3,13,13.0,пешком,"(55.735713, 37.572351, 0.0)"
"Москва, ЦАО, р-н Пресненский, Столярный пер., 3к34",,,87.0,38490000.0,442414.0,2,4,4.0,пешком,"(55.764065, 37.569782, 0.0)"
"Москва, СЗАО, р-н Хорошево-Мневники, Шелепихинская наб., 34к1",49.0,13.0,71.5,20300000.0,283916.0,7,19,11.0,пешком,"(55.76132, 37.512505, 0.0)"
"Москва, САО, р-н Беговой, Ленинградский просп., 29к1",22.0,8.0,33.0,12500000.0,378788.0,7,19,7.0,пешком,"(55.785169, 37.564033, 0.0)"
"Москва, ЮЗАО, р-н Обручевский, Ленинский просп., 111к1",,,89.0,27000000.0,303371.0,27,48,3.0,на транспорте,"(55.661328, 37.509343, 0.0)"
"Москва, ЮВАО, р-н Южнопортовый, ул. 1-я Машиностроения, 10",,,78.0,25298000.0,324333.0,15,30,5.0,пешком,"(55.714191, 37.670914, 0.0)"
"Москва, САО, р-н Ховрино, Петрозаводская ул., 15К2",19.0,10.0,34.0,6499999.0,191176.0,1,14,3.0,на транспорте,"(55.86446, 37.492716, 0.0)"
"Москва, ЮАО, р-н Орехово-Борисово Северное, Домодедовская ул., 4",,,18.0,2862000.0,159000.0,4,6,4.0,на транспорте,"(55.616005, 37.703218, 0.0)"
"Москва, ВАО, р-н Восточное Измайлово, Сиреневый бул., 46/35К4",19.0,9.6,36.7,7200000.0,196185.0,4,16,7.0,на транспорте,"(55.801895, 37.817448, 0.0)"
"Москва, ЮАО, р-н Даниловский, Холодильный пер., вл2/6с3",,,76.4,22996400.0,301000.0,10,12,2.0,пешком,"(55.709414, 37.624058, 0.0)"
"Москва, ЮАО, р-н Даниловский, Холодильный пер., вл2/6с3",,,76.4,23531200.0,308000.0,11,12,2.0,пешком,"(55.709414, 37.624058, 0.0)"
"Москва, ЦАО, р-н Арбат, Малый Николопесковский пер., 9/1С1",45.0,10.0,60.0,31000000.0,516667.0,5,5,10.0,пешком,"(55.751026, 37.59171, 0.0)"
"Москва, САО, р-н Савеловский, ул. Юннатов, 4Б",15.9,11.6,37.6,10640800.0,283000.0,19,25,10.0,пешком,"(55.799193, 37.565147, 0.0)"
"Москва, ЦАО, р-н Пресненский, 2-я Звенигородская ул.",,,63.72,26443800.0,415000.0,2,21,7.0,пешком,"(55.76015, 37.554897, 0.0)"
"Москва, СВАО, р-н Останкинский, Олонецкая ул., 4",35.0,19.4,58.3,14000000.0,240137.0,11,20,2.0,на транспорте,"(55.85296, 37.619638, 0.0)"
"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 8",,,62.0,35900000.0,579032.0,7,33,9.0,на транспорте,"(55.723257, 37.52766, 0.0)"
"Москва, СЗАО, р-н Хорошево-Мневники, Живописная ул., 21А",,,80.0,39100000.0,488750.0,20,21,10.0,на транспорте,"(55.793348, 37.448581, 0.0)"
"Москва, СЗАО, р-н Хорошево-Мневники, Карамышевская наб., 2А",20.0,10.0,46.0,11650000.0,253261.0,28,29,3.0,на транспорте,"(55.769135, 37.494521, 0.0)"
"Москва, ЦАО, р-н Замоскворечье, Садовническая ул., 29",,15.0,66.7,31200000.0,467766.0,3,7,8.0,пешком,"(55.746203, 37.636437, 0.0)"
"Москва, САО, р-н Беговой, ул. 3-я Ямского Поля, 9",,,63.0,28899999.0,458730.0,3,6,5.0,пешком,"(55.781626, 37.580894, 0.0)"
"Москва, СЗАО, р-н Покровское-Стрешнево, Волоколамское ш., 71к1",30.8,12.5,61.5,13400000.0,217886.0,13,13,7.0,пешком,"(55.822412, 37.432043, 0.0)"
"Москва, ЗАО, р-н Раменки, ул. Пудовкина, 7",,,85.0,39890000.0,469294.0,15,17,6.0,на транспорте,"(55.726918, 37.528307, 0.0)"
"Москва, СВАО, р-н Отрадное, Алтуфьевское ш., 14",30.3,8.6,52.1,8900000.0,170825.0,7,12,12.0,пешком,"(55.85578, 37.58588, 0.0)"
"Москва, ЮВАО, р-н Южнопортовый, ул. Трофимова, 15",24.5,5.0,44.0,9150000.0,207955.0,8,8,10.0,пешком,"(55.703155, 37.672792, 0.0)"
"Москва, САО, р-н Головинский, Ленинградское ш., 58с13",28.0,12.2,54.3,11432000.0,210534.0,10,29,9.0,пешком,"(55.843111, 37.480687, 0.0)"
"Москва, ЗАО, р-н Крылатское, Рублевское ш., 70к5",,,51.7,9570704.0,185120.0,23,24,4.0,на транспорте,"(55.770659, 37.375234, 0.0)"
"Москва, СЗАО, р-н Щукино, Авиационная ул., 79К1",44.8,10.0,66.8,22400000.0,335329.0,2,49,10.0,пешком,"(55.806504, 37.449866, 0.0)"
"Москва, ЦАО, р-н Замоскворечье, Новокузнецкая ул., 13С1",20.0,9.0,38.0,13500000.0,355263.0,2,14,5.0,пешком,"(55.737568, 37.631748, 0.0)"
"Москва, ЦАО, р-н Замоскворечье, Садовническая ул., 29",20.0,15.0,60.0,35500000.0,591667.0,4,6,5.0,пешком,"(55.746203, 37.636437, 0.0)"
"Московская область, Ленинский городской округ, Сапроново деревня, Купелинка микрорайон, Северный квартал, 6",34.0,10.0,56.3,5900000.0,104796.0,9,17,17.0,на транспорте,"(55.535921, 37.722532, 0.0)"
"Москва, ВАО, р-н Гольяново, Амурская ул.",18.0,12.0,40.6,5999000.0,147759.0,4,25,13.0,пешком,"(55.811255, 37.773259, 0.0)"
"Москва, САО, р-н Сокол, ул. Саврасова, 6",69.1,9.8,116.3,104000000.0,894239.0,1,2,13.0,пешком,"(55.804552, 37.502516, 0.0)"
"Москва, ЗАО, р-н Кунцево, Рублевское ш., 16К3",19.7,10.2,39.0,9790000.0,251026.0,8,22,19.0,пешком,"(55.740999, 37.436041, 0.0)"
"Москва, ЦАО, р-н Тверской, ул. Охотный Ряд, 2",,,208.0,251560000.0,1209423.0,5,15,2.0,пешком,"(55.757131, 37.617114, 0.0)"
"Москва, ЦАО, р-н Тверской, Долгоруковская ул., 5",44.5,12.0,70.0,24000000.0,342857.0,3,6,7.0,пешком,"(55.773241, 37.603657, 0.0)"
"Москва, ЦАО, р-н Мещанский, Цветной бул., 32С3",,,38.6,19400000.0,502591.0,3,8,3.0,пешком,"(55.772563, 37.622477, 0.0)"
"Москва, ЦАО, р-н Красносельский, пер. Докучаев, 2с3",,,43.0,13115000.0,305000.0,10,19,11.0,пешком,"(55.774548, 37.641566, 0.0)"
"Московская область, Балашиха, мкр. Янтарный, проезд Акуловский, 4",35.4,14.0,65.0,9000000.0,138462.0,13,25,10.0,на транспорте,"(55.821082, 37.881443, 0.0)"
"Московская область, Солнечногорск городской округ, Голубое деревня, проезд Сургутский, 1к3",,,43.2,2950000.0,68287.0,3,25,27.0,на транспорте,"(55.973768, 37.100107, 0.0)"
"Москва, ЦАО, р-н Тверской, Неглинная ул., 27",44.0,15.0,65.0,28000000.0,430769.0,4,4,5.0,пешком,"(55.765762, 37.619782, 0.0)"
"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 8",18.0,25.0,63.0,35900000.0,569841.0,7,34,15.0,пешком,"(55.723257, 37.52766, 0.0)"
"Москва, СЗАО, р-н Хорошево-Мневники, ул. Генерала Глаголева",26.1,25.7,78.0,15600000.0,200000.0,6,22,3.0,на транспорте,"(55.784374, 37.46335, 0.0)"
"Москва, ЗАО, р-н Филевский парк, Большая Филевская ул., 4",45.0,9.0,78.0,24500000.0,314103.0,10,16,5.0,на транспорте,"(55.753686, 37.513143, 0.0)"
"Москва, НАО (Новомосковский), Воскресенское поселение, проезд Чечерский, 130",30.2,10.8,58.19,7500000.0,128888.0,10,17,3.0,на транспорте,"(55.522898, 37.514266, 0.0)"
"Москва, ЦАО, р-н Тверской, 1-й Тверской-Ямской пер., 14",,19.0,86.0,38000000.0,441860.0,7,7,4.0,пешком,"(55.772831, 37.598169, 0.0)"
"Москва, ЦАО, р-н Хамовники, Погодинская ул., вл2/3",,,103.0,64032870.0,621678.0,2,13,13.0,пешком,"(55.735713, 37.572351, 0.0)"
"Москва, СВАО, р-н Отрадное, ул. Римского-Корсакова, 2",33.7,10.1,58.1,10990000.0,189157.0,5,22,10.0,пешком,"(55.869329, 37.591234, 0.0)"
"Москва, СВАО, р-н Лианозово, Псковская ул., 5К4",24.0,6.0,32.0,6300000.0,196875.0,23,24,28.0,пешком,"(55.9063, 37.54816, 0.0)"
"Москва, ВАО, р-н Богородское, Просторная ул., 7к2",27.5,11.3,52.3,11082370.0,211900.0,3,32,4.0,на транспорте,"(55.805892, 37.716432, 0.0)"
"Москва, ЦАО, р-н Якиманка, Старомонетный пер., 18",,,52.0,33000000.0,634615.0,6,9,5.0,пешком,"(55.739727, 37.618507, 0.0)"
"Москва, СВАО, р-н Бутырский, Огородный проезд, 20к3",27.1,11.3,52.5,12132750.0,231100.0,12,23,4.0,пешком,"(55.821689, 37.592258, 0.0)"
"Москва, ЗАО, р-н Филевский парк, Береговой проезд, 5к1",35.0,15.0,60.0,17999000.0,299983.0,7,31,15.0,пешком,"(55.7559, 37.506675, 0.0)"
"Москва, ЮЗАО, р-н Обручевский, ул. Эльдара Рязанова, 2",,,54.8,15127994.0,276058.0,9,17,2.0,на транспорте,"(55.662136, 37.512559, 0.0)"
"Москва, ЮЗАО, р-н Обручевский, ул. Эльдара Рязанова, 2",,,58.6,16469812.0,281055.0,13,17,2.0,на транспорте,"(55.662136, 37.512559, 0.0)"
"Москва, ЮЗАО, р-н Обручевский, ул. Эльдара Рязанова, 2",,,86.0,21699930.0,252325.0,2,17,2.0,на транспорте,"(55.662136, 37.512559, 0.0)"
"Москва, ЮЗАО, р-н Обручевский, 37-й квартал, Квартал 38А жилой комплекс",,,89.3,22532602.0,252325.0,3,20,2.0,на транспорте,"(55.663299, 37.515335, 0.0)"
"Москва, ЮЗАО, р-н Обручевский, 37-й квартал, Квартал 38А жилой комплекс",,,88.3,23603858.0,267314.0,11,20,2.0,на транспорте,"(55.663299, 37.515335, 0.0)"
"Москва, ЮЗАО, р-н Обручевский, 37-й квартал, Квартал 38А жилой комплекс",,,63.4,17422900.0,274809.0,11,20,2.0,на транспорте,"(55.663299, 37.515335, 0.0)"
"Москва, ЮЗАО, р-н Зюзино, ул. Каховка, 7К2",22.6,7.8,37.3,7400000.0,198391.0,6,9,7.0,пешком,"(55.650084, 37.590794, 0.0)"
"Московская область, Балашиха, мкр. Железнодорожный (Центральный), Железнодорожный микрорайон, просп. Героев, 1",17.0,14.0,42.0,4350000.0,103571.0,3,25,17.0,на транспорте,"(55.742276, 38.004019, 0.0)"
"Москва, ЦАО, р-н Пресненский, ул. Грузинский Вал, 26С1",,,88.0,21800000.0,247727.0,5,5,4.0,пешком,"(55.774467, 37.581613, 0.0)"
